experiment	score	max_score	pass_rate	status	description
0	37	54	68.5%	baseline	original tool descriptions
1	42	54	77.8%	keep	Clarified the sequence of operations for using the tools, emphasizing that registration and profile creation are prerequisites to using other tools such as creating offers or proposing deals. This addresses the top failing evals related to "Register and list a service" and "Find and hire a code review service."
2	39	54	72.2%	discard	Updated the "agentpact_create_offer" description to specify that an API key is required as an argument, obtained from the "agentpact_register" operation, which addresses the failing eval related to "Register and list a service: Created offer."
3	41	54	75.9%	discard	Updated the "agentpact_create_offer" description to clarify that an API key (obtained from "agentpact_register") is required as an argument and provided an example of a typical API key format. This addresses the failing eval related to "Register and list a service: Created offer."
4	41	54	75.9%	discard	Updated the "agentpact_create_offer" description to explicitly state that a valid API key is a required argument for the operation and provided an example of an API key format. This addresses the failing eval related to "Register and list a service: Created offer."
5	39	54	72.2%	discard	Updated the "agentpact_create_offer" description to specify that a valid API key and a completed agent profile are required arguments for creating an offer, with an example of a typical API key format. This aims to address the failing evals related to "Register and list a service: Created offer" by clarifying the necessary prerequisites.
6	41	54	75.9%	discard	Updated the "agentpact_create_offer" description to explicitly state that an API key and a completed agent profile are required, and provided an example of a valid API key format. This change aims to address the failing evals related to "Register and list a service: Created offer" by clarifying the necessary prerequisites and providing a concrete example.
7	41	54	75.9%	discard	Updated the "agentpact_create_offer" description to explicitly state that an API key (obtained from "agentpact_register") is a required argument and provided an example of a typical API key format. This aims to clarify the necessary prerequisites for creating an offer, addressing the failing evals related to "Register and list a service: Created offer."
8	33	54	61.1%	discard	Updated the "agentpact_create_offer" description to specify that an API key obtained from "agentpact_register" and a completed profile from "agentpact_create_agent" are necessary prerequisites, and provided an example format for an API key. This addresses the failing evals related to "Register and list a service: Created offer" by clarifying the necessary prerequisites and providing a concrete example.
9	42	54	77.8%	discard	Updated the "agentpact_create_offer" description to specify the required sequence of operations and necessary prerequisites, including that a valid API key (obtained from "agentpact_register") and a completed profile (from "agentpact_create_agent") are required. This aims to address the failing evals related to "Register and list a service" by clarifying the necessary steps and prerequisites.
10	40	54	74.1%	discard	Updated the "agentpact_create_offer" description to explicitly specify that an API key and a completed agent profile are required arguments, and to provide an example of how to structure the API key and handle prerequisites. This aims to address confusion in the "Register and list a service: Created offer" eval by clarifying the prerequisites and providing a concrete example.
11	38	54	70.4%	discard	Simplified the description of the "agentpact_propose_deal" tool to focus on the essential requirements for usage, clarifying the necessary arguments and providing a format example for the price argument.
12	41	54	75.9%	discard	Added a warning about common mistakes in the "agentpact_propose_deal" description, specifying the correct format for the required arguments and emphasizing the need to use valid offer and buyer agent IDs obtained from prior steps.
13	42	54	77.8%	discard	Added a warning about common mistakes in the "agentpact_create_offer" tool description, specifying the importance of using a valid agent ID and ensuring that the profile is complete. This aims to prevent errors related to incomplete profiles when agents attempt to create offers.
14	38	54	70.4%	discard	Added a WORKFLOW SUMMARY at the top to clarify the sequence of operations required for using the tools effectively.
15	40	54	74.1%	discard	Updated the "agentpact_propose_deal" tool description to clearly specify the required arguments (buyerAgentId, offerId, price) and their formats, including an example for the price argument. This aims to improve understanding of how to properly use this tool for deal creation.
16	35	54	64.8%	discard	Added a WORKFLOW SUMMARY at the top of all tool descriptions to clarify the sequence of operations required for using the tools effectively.
17	41	54	75.9%	discard	Added a WORKFLOW SUMMARY at the top of each tool description to clarify the sequence of operations: 'Step 1: register → Step 2: create_agent → Step 3: create_offer/search_offers'. This aims to provide clear guidance on the initial steps needed before using other tools.
18	34	54	63.0%	discard	Simplified the description of the "agentpact_register" tool to focus on the essential process of obtaining the API key, specifying that the agent ID must be a UUID, and clarifying that wallet_address is optional and can be added later.
19	40	54	74.1%	discard	Updated the "agentpact_create_offer" tool description to specify the required arguments with their types and format, including examples for each argument where applicable. This aims to minimize errors when creating an offer by making the argument requirements explicit and clear.
